"vial","Pop","toluene.int.std","beta.myrcene","cis.ocimene","trans.ocimene","ocimene.epoxide","ocimene.epoxide.1","linalool","beta.caryophyllene","methyl.benzoate","beta.farnesene","alpha.humulene","alpha.terpineol","Z.E.alpha.farnesene","E.E.alpha.farnesene","TMTT","geraniol","X2phenyl.ethanol","phenylacetonitrile","caryophyllene.oxide","nitrophenylethane","methyl.farnesoate","isophytol.","jasmine.lactone","phenylacetaldoxime","farnesol","Name","site","dry.flower.weight","linalool_phenotype","log_linalool","error"
1757,"Rouse",8488072,316.585817473111,1017.39473069532,101853.127802968,0,0,200336.545346554,1012.48914381889,0,0,119.959589735528,0,206.767599460086,19792.8022127607,0,0,0,37.9979385520351,276.679245814008,0,903.76961142685,0,0,0,836.766076339244,4071,"Rouse",0.1024,"high",18.7229886258953,FALSE
1758,"Rouse",8825128,436.518849256478,1466.78833796639,163909.629514595,741.90091767482,0,64846.4398374859,3561.91394808709,0,0,201.373862493502,0,0,0,0,0,0,0,143.534525708608,0,1771.48850520794,0,0,0,574.303221233986,4072,"Rouse",0.1157,"high",17.7560671023671,FALSE
1759,"Rouse",10144067,1008.61034620459,3375.85033206744,357373.122463234,0,0,0,392.214443923056,0,136.736535951837,0,0,308.889921756186,85221.6830115556,0,0,0,100.057510747835,0,0,0,0,0,0,0,4073,"Rouse",0.0969,"none",NA,NA
1760,"Rouse",8456456,466.066093395894,1360.77394205804,158160.092723428,209.921070772218,0,101697.823828978,1918.74990563214,55.7727898272995,23.8729329980534,143.445436483845,0,70.8595180387352,14319.5007857907,0,0,0,0,254.731218019038,0,161.084890733056,0,0,0,147.771494201178,4074,"Rouse",0.1816,"high",18.614183894736,FALSE
1761,"Rouse",8502476,814.178520360614,2965.49156140889,340565.419459303,1172.53762285821,0,2255.95366729236,3677.18992013236,0,0,263.312174762807,0,0,470.440685484452,0,0,106.862873574373,1570.6905913198,0,181.448135621594,957.944986872539,0,776.292195979868,1025.19355052263,2176.83895933997,4075,"Rouse",0.0784,"high",13.9711954887977,FALSE
1762,"Rouse",8686149,691.524559266533,2656.36632070931,308012.98727613,2666.68107590239,0,0,752.921697584985,0,0,133.690313604112,33.2004778262461,0,0,0,0,0,671.14074530038,403.978847831908,137.718836002685,523.820272982167,0,0,696.57631736545,1190.53698457374,4076,"Rouse",0.0989,"none",NA,NA
1763,"Rouse",7741674,466.916760267116,2059.83653543159,244021.132502168,273.182494262108,0,171293.727179948,196.584147974057,0,247.844291334798,0,0,628.416730449303,167928.697971514,0,0,0,370.515729455812,0,126.932943869124,0,0,0,870.024130559002,0,4077,"Rouse",0.0749,"high",18.1615929699229,FALSE
1764,"Rouse",8152081,361.224641316894,1269.48076202874,157538.027216695,1421.6523277403,0,0,2431.82969796992,0,0,184.559165641955,0,0,0,0,0,0,63.4682321009917,0,0,445.201643501203,0,0,0,1061.04534604524,4078,"Rouse",0.0639,"none",NA,NA
1765,"Rouse",8555996,797.884067370869,3079.05244116177,326158.705085191,798.995819661093,0,56.0741608921155,5104.23304095531,0,0,425.203157939592,0,0,0,0,0,0,248.810905371053,729.20179364619,115.967648972807,1898.34922437673,0,0,617.335743044778,2257.8896674289,4079,"Rouse",0.1215,"low",10.7209077741445,FALSE
1766,"Rouse",9686746,341.805276839466,1287.70813405931,164061.711664738,266.035510084981,0,111630.050087786,507.552553217629,0,0,74.3151802936819,0,0,0,0,88.5653541261802,0,462.396726487777,0,111.190339341023,1380.54045193286,0,0,774.135687922767,2111.76915418094,4080,"Rouse",0.1002,"high",18.2485583781324,FALSE
1767,"Rouse",8395562,606.636649568339,2516.56322787889,285897.408883942,986.952708502232,0,125.674119246206,4621.28310392014,0,0,275.896021720455,0,0,0,0,112.829804891167,0,290.62618539932,190.073072888497,180.126618088483,899.144949936387,0,0,1182.85884405175,2953.31286103385,4081,"Rouse",0.0821,"low",11.117019522111,FALSE
1768,"Rouse",8720275,268.772096198798,886.66593640335,111976.317245602,0,0,106570.657788731,59.5625604734003,0,91.5989854982546,0,0,401.994510696509,100099.966626281,0,0,0,0,291.279566997887,0,181.15919345402,0,0,0,351.424384042956,4082,"Rouse",0.0839,"high",17.9195259565391,FALSE
1769,"Rouse",8536672,34.328340642182,106.562386391526,9635.98811014214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4083,"Rouse",0.1113,"none",NA,NA
1770,"Rouse",8438971,368.888318652102,1351.58982655086,166798.83543982,436.720143695274,0,0,226.498976774534,0,0,0,0,0,0,0,0,0,143.132631850203,0,115.248433265131,0,0,0,0,703.799385318857,4084,"Rouse",0.0634,"none",NA,NA
1771,"Rouse",7887978,518.190500649879,2036.59643174944,245120.09681465,680.757365429281,0,148.102785633895,3594.89320420709,0,0,280.811965490719,0,0,0,0,0,0,164.725014280433,0,89.4655950415387,435.084730403498,0,0,0,704.785360205917,4085,"Rouse",0.0911,"low",11.3228902341403,FALSE
1772,"Rouse",8621898,1535.07321166005,5223.41373048482,508689.50589706,731.637650784062,0,79.1038179186242,60.4966608980946,0,484.968427697902,22.580329415832,0,692.461382736271,309425.272927948,0,0,0,0,290.633989048686,0,0,0,0,0,0,4086,"Rouse",0.1212,"low",11.0701945316696,FALSE
1773,"Rouse",8904580,587.621839156516,2346.85494137539,279692.177798577,1129.83174433446,0,169.77270511643,2458.92259431651,0,0,195.026532679129,0,0,0,0,535.439586653796,0,255.997611685645,0,229.912104888572,0,0,0,0,0,4087,"Rouse",0.0643,"low",11.2322719674476,FALSE
1774,"Rouse",7951406,380.890297121113,1432.81956845209,151869.756184609,0,0,88.0831777212746,749.083638601651,0,0,27.1888650737765,0,0,0,0,267.209277851563,0,68.9964070441029,166.214190964906,74.7744312793233,308.564866256909,0,472.563382427641,414.222791143245,2185.28367274303,4088,"Rouse",0.0881,"low",10.777788942138,FALSE
1775,"Rouse",8167095,644.392399913117,2281.51040692463,292261.315553127,301.836628697552,0,0,1920.13320074738,0,0,126.504170570732,0,0,0,0,0,0,269.443402877162,0,156.959646251851,669.820658063659,0,0,1011.44148368674,2803.04228511839,4089,"Rouse",0.0836,"none",NA,NA
1776,"Rouse",8045192,1245.46166483314,3815.31010488418,415567.14291799,475.810010362573,0,143.824093252771,8499.3099121949,0,0,278.113105732384,0,0,0,0,0,0,0,0,0,143.889266754327,0,0,0,274.327117778337,4090,"Rouse",0.081,"low",11.1958008501851,FALSE
